,date,balance,equity,load
137,2020-08-10,89779.0,99157.0,0.0
138,2020-08-11,89888.0,98335.0,0.0
139,2020-08-12,89515.0,100007.0,0.0
140,2020-08-13,73537.0,99789.0,0.0
141,2020-08-14,69427.0,100193.0,0.0
142,2020-08-17,73241.0,102011.0,0.0
143,2020-08-18,79973.0,102635.0,0.0
144,2020-08-19,91220.0,102207.0,0.0
145,2020-08-20,93828.0,102354.0,0.0
146,2020-08-21,99263.0,101200.0,0.0
147,2020-08-24,91760.0,100636.0,0.0
148,2020-08-25,99104.0,100046.0,0.0
149,2020-08-26,95252.0,100658.0,0.0
150,2020-08-27,97714.0,99690.0,0.0
151,2020-08-28,102693.0,99423.0,0.0
152,2020-08-31,113991.0,99317.0,0.0
153,2020-09-01,108649.0,100061.0,0.0
154,2020-09-02,115974.0,99799.0,0.0
155,2020-09-03,125380.0,98630.0,0.0
156,2020-09-04,129912.0,98378.0,0.0
157,2020-09-08,134245.0,98665.0,0.0
158,2020-09-09,129123.0,99493.0,0.0
159,2020-09-10,122695.0,99997.0,0.0
160,2020-09-11,117316.0,101381.0,0.0
161,2020-09-14,128883.0,100035.0,0.0
162,2020-09-15,128199.0,101077.0,0.0
163,2020-09-16,116813.0,100531.0,0.0
164,2020-09-17,105646.0,101573.0,0.0
165,2020-09-18,112924.0,102318.0,0.0
166,2020-09-21,119456.0,101234.0,0.0
167,2020-09-22,110283.0,100999.0,0.0
168,2020-09-23,115439.0,101985.0,0.0
169,2020-09-24,104097.0,101325.0,0.0
170,2020-09-25,111424.0,101193.0,0.0
171,2020-09-28,104068.0,99438.0,0.0
172,2020-09-29,92940.0,100326.0,0.0
173,2020-09-30,86263.0,101557.0,0.0
174,2020-10-01,97413.0,101641.0,0.0
175,2020-10-02,107895.0,99287.0,0.0
176,2020-10-05,98582.0,100975.0,0.0
177,2020-10-06,83385.0,100647.0,0.0
178,2020-10-07,77993.0,101785.0,0.0
179,2020-10-08,84938.0,100824.0,0.0
180,2020-10-09,82046.0,99718.0,0.0
181,2020-10-13,85300.0,100848.0,0.0
182,2020-10-14,83692.0,101558.0,0.0
183,2020-10-15,78000.0,100272.0,0.0
184,2020-10-16,83515.0,101184.0,0.0
185,2020-10-19,73929.0,100399.0,0.0
186,2020-10-20,64246.0,98127.0,0.0
187,2020-10-21,76436.0,98573.99999999999,0.0
188,2020-10-22,75161.0,96496.0,0.0
189,2020-10-23,87276.0,96608.0,0.0
190,2020-10-26,99775.0,94843.99999999999,0.0
191,2020-10-27,111633.0,96485.0,0.0
192,2020-10-28,120990.0,97525.0,0.0
193,2020-10-29,132604.0,100670.0,0.0
194,2020-10-30,121269.0,102870.0,0.0
195,2020-11-03,109325.0,104875.0,0.0
196,2020-11-04,114099.0,102917.0,0.0
197,2020-11-05,110746.0,102718.0,0.0
198,2020-11-06,108882.0,103338.0,0.0
199,2020-11-09,102828.0,100186.0,0.0
200,2020-11-10,85361.0,97854.0,0.0
201,2020-11-11,80834.0,98382.0,0.0
202,2020-11-12,79465.0,99194.0,0.0
203,2020-11-13,81645.0,100143.0,0.0
204,2020-11-16,86770.0,100811.00000000001,0.0
205,2020-11-17,78514.0,101796.0,0.0
206,2020-11-18,65573.0,100820.0,0.0
207,2020-11-19,69888.0,101734.0,0.0
208,2020-11-20,82207.0,103054.0,0.0
209,2020-11-23,75597.0,107660.99999999999,0.0
210,2020-11-24,76499.0,109441.0,0.0
211,2020-11-25,75518.0,110283.99999999999,0.0
212,2020-11-26,76726.0,111830.0,0.0
213,2020-11-27,95940.0,113816.0,0.0
214,2020-11-30,93591.0,114394.0,0.0
